week,transactions,recall,wrongful_decline_rate,precision,alert_rate,psi_feature_drift,p95_latency_ms
1,41250,0.803,0.026,0.3866,0.0415,0.04,178
2,40980,0.799,0.027,0.3765,0.0424,0.05,181
3,42100,0.807,0.025,0.3971,0.0406,0.06,176
4,41770,0.801,0.026,0.386,0.0415,0.05,180
5,43010,0.798,0.027,0.3762,0.0424,0.07,182
6,42640,0.804,0.026,0.3869,0.0416,0.08,179
7,44890,0.792,0.03,0.3501,0.0452,0.12,181
8,45320,0.778,0.034,0.3183,0.0489,0.17,184
9,46010,0.761,0.038,0.2901,0.0525,0.21,183
10,46550,0.749,0.041,0.2716,0.0552,0.24,185
11,47120,0.741,0.043,0.2602,0.057,0.26,187
12,47600,0.735,0.045,0.25,0.0588,0.28,186
